Date,Total Assets,Distribution,Weights
2015-12-02,9856.797521591187,"{'GILD': 2046.1946868896484, 'BIIB': 1994.7199401855469, 'CTLT': 1958.1799945831297, 'UHS': 2013.723876953125, 'CNC': 1829.620014190674, 'cash': 14.3590087890625}","{'GILD': 27, 'BIIB': 7, 'CTLT': 71, 'UHS': 17, 'CNC': 62}"
2015-12-03,9527.931846618652,"{'GILD': 1986.2437362670898, 'BIIB': 1928.0800170898438, 'CTLT': 1902.0900650024414, 'UHS': 1935.4289627075198, 'CNC': 1761.7300567626953, 'cash': 14.3590087890625}","{'GILD': 27, 'BIIB': 7, 'CTLT': 71, 'UHS': 17, 'CNC': 62}"
2015-12-04,9783.553678512573,"{'GILD': 2038.9461822509766, 'BIIB': 1991.1500854492188, 'CTLT': 1963.1499729156496, 'UHS': 1956.5584716796875, 'CNC': 1819.3899574279783, 'cash': 14.3590087890625}","{'GILD': 27, 'BIIB': 7, 'CTLT': 71, 'UHS': 17, 'CNC': 62}"
2015-12-07,9628.560359954834,"{'GILD': 2016.2189025878906, 'BIIB': 1971.4100341796875, 'CTLT': 1918.4200325012207, 'UHS': 1917.9023818969727, 'CNC': 1790.25, 'cash': 14.3590087890625}","{'GILD': 27, 'BIIB': 7, 'CTLT': 71, 'UHS': 17, 'CNC': 62}"
2015-12-08,9732.049892425537,"{'GILD': 2028.3669662475586, 'BIIB': 2019.2199401855469, 'CTLT': 1920.5499458312988, 'UHS': 1970.1539840698242, 'CNC': 1779.400047302246, 'cash': 14.3590087890625}","{'GILD': 27, 'BIIB': 7, 'CTLT': 71, 'UHS': 17, 'CNC': 62}"
2015-12-09,9550.563327789307,"{'GILD': 1997.411476135254, 'BIIB': 1992.2698974609375, 'CTLT': 1818.3100433349607, 'UHS': 1945.0928878784182, 'CNC': 1783.120014190674, 'cash': 14.3590087890625}","{'GILD': 27, 'BIIB': 7, 'CTLT': 71, 'UHS': 17, 'CNC': 62}"
2015-12-10,9685.965797424316,"{'GILD': 2010.5378036499023, 'BIIB': 2029.1600341796875, 'CTLT': 1866.5900650024414, 'UHS': 1983.7488479614258, 'CNC': 1781.5700378417966, 'cash': 14.3590087890625}","{'GILD': 27, 'BIIB': 7, 'CTLT': 71, 'UHS': 17, 'CNC': 62}"
2015-12-11,9522.426321029663,"{'GILD': 1959.7937393188477, 'BIIB': 1984.2199401855469, 'CTLT': 1843.8699512481687, 'UHS': 1957.2137145996094, 'CNC': 1762.9699668884277, 'cash': 14.3590087890625}","{'GILD': 27, 'BIIB': 7, 'CTLT': 71, 'UHS': 17, 'CNC': 62}"
2015-12-14,9465.08427810669,"{'GILD': 1977.3056716918945, 'BIIB': 1976.7301025390625, 'CTLT': 1833.2199783325195, 'UHS': 1902.6695404052734, 'CNC': 1760.7999763488772, 'cash': 14.3590087890625}","{'GILD': 27, 'BIIB': 7, 'CTLT': 71, 'UHS': 17, 'CNC': 62}"
2015-12-15,9670.062442779541,"{'GILD': 2006.4278182983398, 'BIIB': 2023.7698974609375, 'CTLT': 1867.2999458312988, 'UHS': 1937.8857345581052, 'CNC': 1820.3200378417966, 'cash': 14.3590087890625}","{'GILD': 27, 'BIIB': 7, 'CTLT': 71, 'UHS': 17, 'CNC': 62}"
