Date,Total Assets,Distribution
2015-12-02,9862.901607513428,"{'GILD': 1894.6247100830078, 'BIIB': 1994.7199401855469, 'CTLT': 1875.4399948120115, 'UHS': 1895.26953125, 'CNC': 1918.1500148773196, 'cash': 284.697416305542}"
2015-12-03,9542.16732597351,"{'GILD': 1839.1145706176758, 'BIIB': 1928.0800170898438, 'CTLT': 1821.7200622558594, 'UHS': 1821.5802001953127, 'CNC': 1846.9750595092773, 'cash': 284.697416305542}"
2015-12-04,9792.852359771729,"{'GILD': 1887.9131317138672, 'BIIB': 1991.1500854492188, 'CTLT': 1880.1999740600588, 'UHS': 1841.466796875, 'CNC': 1907.4249553680418, 'cash': 284.697416305542}"
2015-12-07,9642.296430587769,"{'GILD': 1866.8693542480469, 'BIIB': 1971.4100341796875, 'CTLT': 1837.3600311279297, 'UHS': 1805.0845947265625, 'CNC': 1876.875, 'cash': 284.697416305542}"
2015-12-08,9741.19748878479,"{'GILD': 1878.117561340332, 'BIIB': 2019.2199401855469, 'CTLT': 1839.3999481201172, 'UHS': 1854.2625732421875, 'CNC': 1865.5000495910645, 'cash': 284.697416305542}"
2015-12-09,9567.978099822998,"{'GILD': 1849.4550704956055, 'BIIB': 1992.2698974609375, 'CTLT': 1741.480041503906, 'UHS': 1830.6756591796877, 'CNC': 1869.4000148773196, 'cash': 284.697416305542}"
2015-12-10,9698.019369125366,"{'GILD': 1861.6090774536133, 'BIIB': 2029.1600341796875, 'CTLT': 1787.7200622558594, 'UHS': 1867.0577392578125, 'CNC': 1867.7750396728513, 'cash': 284.697416305542}"
2015-12-11,9539.859603881836,"{'GILD': 1814.6238327026367, 'BIIB': 1984.2199401855469, 'CTLT': 1765.9599533081052, 'UHS': 1842.08349609375, 'CNC': 1848.2749652862549, 'cash': 284.697416305542}"
2015-12-14,9484.773860931396,"{'GILD': 1830.8385848999023, 'BIIB': 1976.7301025390625, 'CTLT': 1755.7599792480469, 'UHS': 1790.747802734375, 'CNC': 1845.999975204468, 'cash': 284.697416305542}"
2015-12-15,9686.963293075562,"{'GILD': 1857.8035354614258, 'BIIB': 2023.7698974609375, 'CTLT': 1788.3999481201172, 'UHS': 1823.8924560546873, 'CNC': 1908.4000396728513, 'cash': 284.697416305542}"
2015-12-16,9861.579261779785,"{'GILD': 1882.7638626098633, 'BIIB': 2095.030059814453, 'CTLT': 1804.7200622558594, 'UHS': 1799.8428955078125, 'CNC': 1994.5249652862549, 'cash': 284.697416305542}"
2015-12-17,9822.857481002808,"{'GILD': 1864.9091720581055, 'BIIB': 2080.1900939941406, 'CTLT': 1792.480041503906, 'UHS': 1790.1307373046873, 'CNC': 2010.4500198364258, 'cash': 284.697416305542}"
2015-12-18,9777.53225517273,"{'GILD': 1851.0618209838867, 'BIIB': 2053.5899658203125, 'CTLT': 1711.5600051879883, 'UHS': 1772.248046875, 'CNC': 2104.375, 'cash': 284.697416305542}"
2015-12-21,9906.053548812866,"{'GILD': 1869.828224182129, 'BIIB': 2082.919982910156, 'CTLT': 1712.920036315918, 'UHS': 1836.68798828125, 'CNC': 2118.999900817871, 'cash': 284.697416305542}"
2015-12-22,9897.72882270813,"{'GILD': 1874.018669128418, 'BIIB': 2105.389923095703, 'CTLT': 1700.680015563965, 'UHS': 1815.5677490234375, 'CNC': 2117.3750495910645, 'cash': 284.697416305542}"
2015-12-23,9972.946031570435,"{'GILD': 1879.1200637817383, 'BIIB': 2101.3300170898438, 'CTLT': 1702.7200622558594, 'UHS': 1866.9034423828125, 'CNC': 2138.1750297546387, 'cash': 284.697416305542}"
2015-12-24,9975.301301956177,"{'GILD': 1887.1366500854492, 'BIIB': 2116.030059814453, 'CTLT': 1696.6000518798828, 'UHS': 1859.8121337890625, 'CNC': 2131.024990081787, 'cash': 284.697416305542}"
2015-12-28,9955.05267906189,"{'GILD': 1852.5199890136719, 'BIIB': 2126.8799743652344, 'CTLT': 1704.079963684082, 'UHS': 1839.9254150390625, 'CNC': 2146.949920654297, 'cash': 284.697416305542}"
