Date,Total Assets,Distribution
2015-12-02,9856.797521591187,"{'GILD': 2046.1946868896484, 'BIIB': 1994.7199401855469, 'CTLT': 1958.1799945831297, 'UHS': 2013.723876953125, 'CNC': 1829.620014190674, 'cash': 14.3590087890625}"
2015-12-03,9527.931846618652,"{'GILD': 1986.2437362670898, 'BIIB': 1928.0800170898438, 'CTLT': 1902.0900650024414, 'UHS': 1935.4289627075198, 'CNC': 1761.7300567626953, 'cash': 14.3590087890625}"
2015-12-04,9783.553678512573,"{'GILD': 2038.9461822509766, 'BIIB': 1991.1500854492188, 'CTLT': 1963.1499729156496, 'UHS': 1956.5584716796875, 'CNC': 1819.3899574279783, 'cash': 14.3590087890625}"
2015-12-07,9628.560359954834,"{'GILD': 2016.2189025878906, 'BIIB': 1971.4100341796875, 'CTLT': 1918.4200325012207, 'UHS': 1917.9023818969727, 'CNC': 1790.25, 'cash': 14.3590087890625}"
2015-12-08,9732.049892425537,"{'GILD': 2028.3669662475586, 'BIIB': 2019.2199401855469, 'CTLT': 1920.5499458312988, 'UHS': 1970.1539840698242, 'CNC': 1779.400047302246, 'cash': 14.3590087890625}"
2015-12-09,9550.563327789307,"{'GILD': 1997.411476135254, 'BIIB': 1992.2698974609375, 'CTLT': 1818.3100433349607, 'UHS': 1945.0928878784182, 'CNC': 1783.120014190674, 'cash': 14.3590087890625}"
2015-12-10,9685.965797424316,"{'GILD': 2010.5378036499023, 'BIIB': 2029.1600341796875, 'CTLT': 1866.5900650024414, 'UHS': 1983.7488479614258, 'CNC': 1781.5700378417966, 'cash': 14.3590087890625}"
2015-12-11,9522.426321029663,"{'GILD': 1959.7937393188477, 'BIIB': 1984.2199401855469, 'CTLT': 1843.8699512481687, 'UHS': 1957.2137145996094, 'CNC': 1762.9699668884277, 'cash': 14.3590087890625}"
2015-12-14,9465.08427810669,"{'GILD': 1977.3056716918945, 'BIIB': 1976.7301025390625, 'CTLT': 1833.2199783325195, 'UHS': 1902.6695404052734, 'CNC': 1760.7999763488772, 'cash': 14.3590087890625}"
2015-12-15,9670.062442779541,"{'GILD': 2006.4278182983398, 'BIIB': 2023.7698974609375, 'CTLT': 1867.2999458312988, 'UHS': 1937.8857345581052, 'CNC': 1820.3200378417966, 'cash': 14.3590087890625}"
2015-12-16,9841.917148590088,"{'GILD': 2033.3849716186523, 'BIIB': 2095.030059814453, 'CTLT': 1884.3400650024414, 'UHS': 1912.3330764770508, 'CNC': 1902.4699668884277, 'cash': 14.3590087890625}"
2015-12-17,9799.884979248047,"{'GILD': 2014.101905822754, 'BIIB': 2080.1900939941406, 'CTLT': 1871.5600433349607, 'UHS': 1902.0139083862302, 'CNC': 1917.6600189208984, 'cash': 14.3590087890625}"
2015-12-18,9744.42929649353,"{'GILD': 1999.1467666625977, 'BIIB': 2053.5899658203125, 'CTLT': 1787.0700054168701, 'UHS': 1883.0135498046875, 'CNC': 2007.25, 'cash': 14.3590087890625}"
2015-12-21,9877.864404678345,"{'GILD': 2019.4144821166992, 'BIIB': 2082.919982910156, 'CTLT': 1788.4900379180908, 'UHS': 1951.4809875488281, 'CNC': 2021.1999053955078, 'cash': 14.3590087890625}"
2015-12-22,9868.089891433716,"{'GILD': 2023.9401626586914, 'BIIB': 2105.389923095703, 'CTLT': 1775.7100162506106, 'UHS': 1929.0407333374023, 'CNC': 2019.650047302246, 'cash': 14.3590087890625}"
2015-12-23,9946.053695678711,"{'GILD': 2029.4496688842773, 'BIIB': 2101.3300170898438, 'CTLT': 1777.8400650024414, 'UHS': 1983.5849075317383, 'CNC': 2039.4900283813477, 'cash': 14.3590087890625}"
2015-12-24,9948.667087554932,"{'GILD': 2038.1075820922852, 'BIIB': 2116.030059814453, 'CTLT': 1771.4500541687012, 'UHS': 1976.050392150879, 'CNC': 2032.6699905395508, 'cash': 14.3590087890625}"
2015-12-28,9924.001211166382,"{'GILD': 2000.7215881347656, 'BIIB': 2126.8799743652344, 'CTLT': 1779.2599620819092, 'UHS': 1954.920753479004, 'CNC': 2047.8599243164062, 'cash': 14.3590087890625}"
2015-12-29,10073.11671257019,"{'GILD': 2033.778419494629, 'BIIB': 2167.6900939941406, 'CTLT': 1799.8500270843506, 'UHS': 1988.4992294311523, 'CNC': 2068.9399337768555, 'cash': 14.3590087890625}"
2015-12-30,10000.090129852295,"{'GILD': 2010.1663970947266, 'BIIB': 2158.3799743652344, 'CTLT': 1796.2999458312988, 'UHS': 1965.894775390625, 'CNC': 2054.9900283813477, 'cash': 14.3590087890625}"
2015-12-31,9924.342794418335,"{'GILD': 1991.0800552368164, 'BIIB': 2144.4500427246094, 'CTLT': 1777.130048751831, 'UHS': 1957.2137145996094, 'CNC': 2040.1099243164062, 'cash': 14.3590087890625}"
2016-01-04,9715.324569702148,"{'GILD': 1928.508041381836, 'BIIB': 2062.3399658203125, 'CTLT': 1731.6899566650393, 'UHS': 1931.4976348876955, 'CNC': 2046.9299621582031, 'cash': 14.3590087890625}"
2016-01-05,9850.194625854492,"{'GILD': 1953.1040954589844, 'BIIB': 2076.9000854492188, 'CTLT': 1789.9099349975586, 'UHS': 1939.851463317871, 'CNC': 2076.070037841797, 'cash': 14.3590087890625}"
2016-01-06,9748.241315841675,"{'GILD': 1973.5679168701172, 'BIIB': 2055.7599487304688, 'CTLT': 1764.3500270843506, 'UHS': 1895.134376525879, 'CNC': 2045.0700378417969, 'cash': 14.3590087890625}"
2016-01-07,9438.707612991333,"{'GILD': 1893.8770065307617, 'BIIB': 1988.070068359375, 'CTLT': 1722.4600162506106, 'UHS': 1849.2715225219727, 'CNC': 1970.6699905395508, 'cash': 14.3590087890625}"
2016-01-08,9379.275337219238,"{'GILD': 1897.8127212524414, 'BIIB': 1964.1299743652344, 'CTLT': 1723.1700325012207, 'UHS': 1840.7536239624023, 'CNC': 1939.0499763488772, 'cash': 14.3590087890625}"
2016-01-11,9344.929527282715,"{'GILD': 1898.7965469360352, 'BIIB': 1949.7800598144531, 'CTLT': 1721.75, 'UHS': 1874.8239212036133, 'CNC': 1885.4199905395508, 'cash': 14.3590087890625}"
2016-01-12,9431.555351257324,"{'GILD': 1910.6024551391602, 'BIIB': 1950.6900939941406, 'CTLT': 1762.2199783325195, 'UHS': 1839.443786621094, 'CNC': 1954.2400283813477, 'cash': 14.3590087890625}"
2016-01-13,9085.423997879028,"{'GILD': 1820.8767700195312, 'BIIB': 1870.75, 'CTLT': 1693.3500270843506, 'UHS': 1787.0282440185545, 'CNC': 1899.0599479675293, 'cash': 14.3590087890625}"
2016-01-14,9301.43921661377,"{'GILD': 1830.3219909667969, 'BIIB': 1963.9900512695312, 'CTLT': 1731.6899566650393, 'UHS': 1821.0981521606448, 'CNC': 1939.9800567626953, 'cash': 14.3590087890625}"
2016-01-15,9137.167055130005,"{'GILD': 1807.1030044555664, 'BIIB': 1913.3099060058594, 'CTLT': 1726.0099620819092, 'UHS': 1788.1751785278318, 'CNC': 1888.2099952697752, 'cash': 14.3590087890625}"
2016-01-19,9067.061037063599,"{'GILD': 1768.930320739746, 'BIIB': 1888.9500427246094, 'CTLT': 1698.3200054168701, 'UHS': 1758.691711425781, 'CNC': 1937.8099479675293, 'cash': 14.3590087890625}"
2016-01-20,9084.708393096924,"{'GILD': 1781.7204666137695, 'BIIB': 1885.4500427246094, 'CTLT': 1705.4200325012207, 'UHS': 1759.018814086914, 'CNC': 1938.7400283813477, 'cash': 14.3590087890625}"
2016-01-21,8845.294984817505,"{'GILD': 1748.664047241211, 'BIIB': 1834.5599060058594, 'CTLT': 1643.6499729156496, 'UHS': 1751.8120498657227, 'CNC': 1852.25, 'cash': 14.3590087890625}"
2016-01-22,9105.474174499512,"{'GILD': 1806.9064865112305, 'BIIB': 1882.4400939941406, 'CTLT': 1684.8299674987793, 'UHS': 1761.1486129760742, 'CNC': 1955.7900047302246, 'cash': 14.3590087890625}"
2016-01-25,8968.425994873047,"{'GILD': 1782.9016342163086, 'BIIB': 1834.7000427246094, 'CTLT': 1657.1400108337402, 'UHS': 1776.545265197754, 'CNC': 1902.7800331115723, 'cash': 14.3590087890625}"
2016-01-26,9008.914493560791,"{'GILD': 1814.3838500976562, 'BIIB': 1819.0899658203125, 'CTLT': 1668.5, 'UHS': 1832.891616821289, 'CNC': 1859.6900520324707, 'cash': 14.3590087890625}"
2016-01-27,9057.457530975342,"{'GILD': 1763.6179504394531, 'BIIB': 1912.820068359375, 'CTLT': 1630.1599349975586, 'UHS': 1819.4605636596682, 'CNC': 1917.0400047302246, 'cash': 14.3590087890625}"
2016-01-28,8793.723358154297,"{'GILD': 2105.029369354248, 'CTLT': 1978.2399597167969, 'UHS': 2185.652481079102, 'CNC': 2213.6249542236333, 'HUM': 300.03948974609375, 'cash': 11.137104034423771}"
2016-01-29,8989.919401168823,"{'GILD': 1996.08646774292, 'CTLT': 2070.6400604248047, 'UHS': 2279.133018493652, 'CNC': 2327.250051498413, 'HUM': 305.6726989746094, 'cash': 11.137104034423771}"
2016-02-01,9091.108652114868,"{'GILD': 2143.843193054199, 'CTLT': 2100.2799930572505, 'UHS': 2439.173294067383, 'CNC': 2384.625005722046, 'ABBV': 0.0, 'cash': 23.1871662139892}"
2016-02-02,8862.63847732544,"{'GILD': 2109.6645736694336, 'CTLT': 2094.840042114258, 'UHS': 2376.2166900634766, 'CNC': 2281.500005722046, 'ABBV': 0.0, 'cash': 0.4171657562255291}"
2016-02-03,8905.290321350098,"{'GILD': 2203.528938293457, 'CTLT': 2088.4000701904297, 'UHS': 2365.1941986083984, 'CNC': 2247.7499485015865, 'ABBV': 0.0, 'cash': 0.4171657562255291}"
2016-02-04,8887.036779403687,"{'GILD': 2210.926704406738, 'CTLT': 2042.4000701904297, 'UHS': 2370.917770385742, 'CNC': 2262.375068664551, 'ABBV': 0.0, 'cash': 0.4171657562255291}"
2016-02-05,8615.476072311401,"{'GILD': 2171.6456985473633, 'CTLT': 1994.5600280761719, 'UHS': 2311.3531799316406, 'CNC': 2137.5, 'ABBV': 0.0, 'cash': 0.4171657562255291}"
2016-02-08,8354.506143569946,"{'GILD': 2174.7070503234863, 'CTLT': 1950.4000701904297, 'UHS': 2214.481811523437, 'CNC': 2014.500045776367, 'ABBV': 0.0, 'cash': 0.4171657562255291}"
2016-02-09,8473.485877990723,"{'GILD': 2225.4652214050293, 'CTLT': 1929.239936828613, 'UHS': 2236.7386169433594, 'CNC': 2081.624937057495, 'ABBV': 0.0, 'cash': 0.4171657562255291}"
2016-02-10,8528.074586868286,"{'GILD': 2623.4075469970703, 'UHS': 2730.3463439941406, 'CNC': 2443.0500679016113, 'ABBV': 403.3633918762207, 'HUM': 302.44305419921875, 'cash': 25.464181900024187}"
2016-02-11,8268.681184768677,"{'GILD': 2673.924591064453, 'UHS': 2644.4105529785156, 'CNC': 2471.1200561523433, 'ABBV': 471.8194046020509, 'CAH': 0.0, 'cash': 7.406579971313249}"
2016-02-12,8408.924089431763,"{'GILD': 2737.5904541015625, 'UHS': 2712.310592651367, 'CNC': 2476.1800842285156, 'ABBV': 475.4363784790039, 'CAH': 0.0, 'cash': 7.406579971313249}"
2016-02-16,8578.25810432434,"{'GILD': 2789.929916381836, 'UHS': 2760.1761016845703, 'CNC': 2536.9000701904297, 'ABBV': 483.8454360961914, 'CAH': 0.0, 'cash': 7.406579971313249}"
2016-02-17,8693.318536758423,"{'GILD': 2735.1420135498047, 'UHS': 2802.8413009643555, 'CNC': 2650.519950866699, 'ABBV': 497.40869140625, 'CAH': 0.0, 'cash': 7.406579971313249}"
2016-02-18,8588.708177566528,"{'GILD': 2723.81689453125, 'UHS': 2791.915397644043, 'CNC': 2572.3199157714844, 'ABBV': 493.2493896484375, 'CAH': 0.0, 'cash': 7.406579971313249}"
2016-02-19,8507.78953742981,"{'GILD': 2676.374473571777, 'UHS': 2783.3299942016597, 'CNC': 2549.780014038086, 'ABBV': 490.89847564697266, 'CAH': 0.0, 'cash': 7.406579971313249}"
2016-02-22,8751.974939346313,"{'GILD': 2727.183059692383, 'UHS': 2862.415283203125, 'CNC': 2655.1200561523433, 'ABBV': 499.84996032714844, 'CAH': 0.0, 'cash': 7.406579971313249}"
2016-02-23,8692.635969161987,"{'GILD': 2704.2274475097656, 'UHS': 2854.610801696777, 'CNC': 2628.439971923828, 'ABBV': 497.95116806030273, 'CAH': 0.0, 'cash': 7.406579971313249}"
2016-02-24,8752.097372055054,"{'GILD': 2735.1420135498047, 'UHS': 2878.8051681518555, 'CNC': 2634.4200210571294, 'ABBV': 496.3235893249512, 'CAH': 0.0, 'cash': 7.406579971313249}"
2016-02-25,8815.597059249878,"{'GILD': 2759.6273803710938, 'UHS': 2894.9342651367183, 'CNC': 2645.4599227905273, 'ABBV': 508.1689109802246, 'CAH': 0.0, 'cash': 7.406579971313249}"
2016-02-26,8814.797826766968,"{'GILD': 2696.574508666992, 'UHS': 2951.176300048828, 'CNC': 2653.280014038086, 'ABBV': 506.36042404174805, 'CAH': 0.0, 'cash': 7.406579971313249}"
