Date,LLY_NI,UNH_NI,JNJ_NI,ABBV_NI,MRK_NI,TMO_NI,ABT_NI,DHR_NI,ISRG_NI,AMGN_NI,PFE_NI,BSX_NI,SYK_NI,VRTX_NI,ELV_NI,MDT_NI,REGN_NI,BMY_NI,GILD_NI,CI_NI,ZTS_NI,CVS_NI,HCA_NI,BDX_NI,MCK_NI,A_NI,GEHC_NI,IQV_NI
2015-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5505780346820809,,
2015-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5505780346820809,,
2015-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5505780346820809,,
2015-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5505780346820809,,
2015-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5505780346820809,,
2015-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5505780346820809,,
2015-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5505780346820809,,
2015-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5505780346820809,,
2015-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5505780346820809,,
2015-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5505780346820809,,
2015-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5505780346820809,,
2015-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5505780346820809,,
2015-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5505780346820809,,
2015-09-04,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-09-08,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-09-09,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-09-10,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-09-11,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-09-14,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-09-15,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-09-16,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-09-17,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-09-18,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-09-21,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-09-22,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-09-23,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-09-24,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-09-25,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-09-28,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-09-29,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-09-30,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-10-01,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-10-02,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-10-05,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-10-06,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-10-07,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-10-08,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-10-09,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-10-12,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-10-13,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-10-14,,,-0.15045320708965995,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-10-15,,,-0.15045320708965995,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-10-16,,0.10278179190751445,-0.15045320708965995,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-10-19,,0.10278179190751445,-0.15045320708965995,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-10-20,,0.10278179190751445,-0.15045320708965995,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-10-21,,0.10278179190751445,-0.15045320708965995,,,,,,0.24509356458238254,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-10-22,,0.10278179190751445,-0.15045320708965995,,,0.21015601101254205,,,0.24509356458238254,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-10-23,-0.12307120282580405,0.10278179190751445,-0.15045320708965995,,,0.21015601101254205,,-0.07663242846661779,0.24509356458238254,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-10-26,-0.12307120282580405,0.10278179190751445,-0.15045320708965995,,,0.21015601101254205,,-0.07663242846661779,0.24509356458238254,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-10-27,-0.12307120282580405,0.10278179190751445,-0.15045320708965995,,,0.21015601101254205,,-0.07663242846661779,0.24509356458238254,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,
2015-10-28,-0.12307120282580405,0.10278179190751445,-0.15045320708965995,,1.0022284122562675,0.21015601101254205,,-0.07663242846661779,0.24509356458238254,,-0.20049694189602446,,,,,-0.12034864230640295,,-0.34670592565329406,0.7980609180317272,,,,0.17042889390519186,,,-0.5505780346820809,,
2015-10-29,-0.12307120282580405,0.10278179190751445,-0.15045320708965995,,1.0022284122562675,0.21015601101254205,,-0.07663242846661779,0.24509356458238254,0.31688843398157623,-0.20049694189602446,-1.0347222222222223,,0.2734035358902522,,-0.12034864230640295,,-0.34670592565329406,0.7980609180317272,,,,0.17042889390519186,,,-0.5505780346820809,,0.0883054262610976
2015-10-30,-0.12307120282580405,0.10278179190751445,-0.15045320708965995,,1.0022284122562675,0.21015601101254205,,-0.07663242846661779,0.24509356458238254,0.31688843398157623,-0.20049694189602446,-1.0347222222222223,,0.2734035358902522,,-0.12034864230640295,,-0.34670592565329406,0.7980609180317272,,,,0.17042889390519186,,0.4631061138439916,-0.5505780346820809,,0.0883054262610976
2015-11-02,-0.12307120282580405,0.10278179190751445,-0.15045320708965995,-0.24017348875033884,1.0022284122562675,0.21015601101254205,,-0.07663242846661779,0.24509356458238254,0.31688843398157623,-0.20049694189602446,-1.0347222222222223,,0.2734035358902522,,-0.12034864230640295,,-0.34670592565329406,0.7980609180317272,,,0.09757694826457106,0.17042889390519186,,0.4631061138439916,-0.5505780346820809,,0.0883054262610976
2015-11-03,-0.12307120282580405,0.10278179190751445,-0.15045320708965995,-0.24017348875033884,1.0022284122562675,0.21015601101254205,,-0.07663242846661779,0.24509356458238254,0.31688843398157623,-0.20049694189602446,-1.0347222222222223,,0.2734035358902522,,-0.12034864230640295,,-0.34670592565329406,0.7980609180317272,,,0.09757694826457106,0.17042889390519186,,0.4631061138439916,-0.5505780346820809,,0.0883054262610976
2015-11-04,-0.12307120282580405,0.10278179190751445,-0.15045320708965995,-0.24017348875033884,1.0022284122562675,0.21015601101254205,,-0.07663242846661779,0.24509356458238254,0.31688843398157623,-0.20049694189602446,-1.0347222222222223,,0.2734035358902522,,-0.12034864230640295,,-0.34670592565329406,0.7980609180317272,,,0.09757694826457106,0.17042889390519186,,0.4631061138439916,-0.5505780346820809,,0.0883054262610976
2015-11-05,-0.12307120282580405,0.10278179190751445,-0.15045320708965995,-0.24017348875033884,1.0022284122562675,0.21015601101254205,,-0.07663242846661779,0.24509356458238254,0.31688843398157623,-0.20049694189602446,-1.0347222222222223,,0.2734035358902522,,-0.12034864230640295,0.7664503561355707,-0.34670592565329406,0.7980609180317272,,,0.09757694826457106,0.17042889390519186,-0.41350210970464135,0.4631061138439916,-0.5505780346820809,,0.0883054262610976
2015-11-06,-0.12307120282580405,0.10278179190751445,-0.15045320708965995,-0.24017348875033884,1.0022284122562675,0.21015601101254205,,-0.07663242846661779,0.24509356458238254,0.31688843398157623,-0.20049694189602446,-1.0347222222222223,,0.2734035358902522,,-0.12034864230640295,0.7664503561355707,-0.34670592565329406,0.7980609180317272,,,0.09757694826457106,0.17042889390519186,-0.41350210970464135,0.4631061138439916,-0.5505780346820809,,0.0883054262610976
2015-11-09,-0.12307120282580405,0.10278179190751445,-0.15045320708965995,-0.24017348875033884,1.0022284122562675,0.21015601101254205,,-0.07663242846661779,0.24509356458238254,0.31688843398157623,-0.20049694189602446,-1.0347222222222223,,0.2734035358902522,,-0.12034864230640295,0.7664503561355707,-0.34670592565329406,0.7980609180317272,0.06963927855711423,,0.09757694826457106,0.17042889390519186,-0.41350210970464135,0.4631061138439916,-0.5505780346820809,,0.0883054262610976
2015-11-10,-0.12307120282580405,0.10278179190751445,-0.15045320708965995,-0.24017348875033884,1.0022284122562675,0.21015601101254205,,-0.07663242846661779,0.24509356458238254,0.31688843398157623,-0.20049694189602446,-1.0347222222222223,,0.2734035358902522,,-0.12034864230640295,0.7664503561355707,-0.34670592565329406,0.7980609180317272,0.06963927855711423,,0.09757694826457106,0.17042889390519186,-0.41350210970464135,0.4631061138439916,-0.5505780346820809,,0.0883054262610976
2015-11-11,-0.12307120282580405,0.10278179190751445,-0.15045320708965995,-0.24017348875033884,1.0022284122562675,0.21015601101254205,,-0.07663242846661779,0.24509356458238254,0.31688843398157623,-0.20049694189602446,-1.0347222222222223,,0.2734035358902522,,-0.12034864230640295,0.7664503561355707,-0.34670592565329406,0.7980609180317272,0.06963927855711423,,0.09757694826457106,0.17042889390519186,-0.41350210970464135,0.4631061138439916,-0.5505780346820809,,0.0883054262610976
2015-11-12,-0.12307120282580405,0.10278179190751445,-0.15045320708965995,-0.24017348875033884,1.0022284122562675,0.21015601101254205,,-0.07663242846661779,0.24509356458238254,0.31688843398157623,-0.20049694189602446,-1.0347222222222223,,0.2734035358902522,,-0.12034864230640295,0.7664503561355707,-0.34670592565329406,0.7980609180317272,0.06963927855711423,,0.09757694826457106,0.17042889390519186,-0.41350210970464135,0.4631061138439916,-0.5505780346820809,,0.0883054262610976
2015-11-13,-0.12307120282580405,0.10278179190751445,-0.15045320708965995,-0.24017348875033884,1.0022284122562675,0.21015601101254205,,-0.07663242846661779,0.24509356458238254,0.31688843398157623,-0.20049694189602446,-1.0347222222222223,,0.2734035358902522,,-0.12034864230640295,0.7664503561355707,-0.34670592565329406,0.7980609180317272,0.06963927855711423,,0.09757694826457106,0.17042889390519186,-0.41350210970464135,0.4631061138439916,-0.5505780346820809,,0.0883054262610976
2015-11-16,-0.12307120282580405,0.10278179190751445,-0.15045320708965995,-0.24017348875033884,1.0022284122562675,0.21015601101254205,,-0.07663242846661779,0.24509356458238254,0.31688843398157623,-0.20049694189602446,-1.0347222222222223,,0.2734035358902522,,-0.12034864230640295,0.7664503561355707,-0.34670592565329406,0.7980609180317272,0.06963927855711423,,0.09757694826457106,0.17042889390519186,-0.41350210970464135,0.4631061138439916,-0.5505780346820809,,0.0883054262610976
2015-11-17,-0.12307120282580405,0.10278179190751445,-0.15045320708965995,-0.24017348875033884,1.0022284122562675,0.21015601101254205,,-0.07663242846661779,0.24509356458238254,0.31688843398157623,-0.20049694189602446,-1.0347222222222223,,0.2734035358902522,,-0.12034864230640295,0.7664503561355707,-0.34670592565329406,0.7980609180317272,0.06963927855711423,,0.09757694826457106,0.17042889390519186,-0.41350210970464135,0.4631061138439916,-0.13095238095238096,,0.0883054262610976
2015-11-18,-0.12307120282580405,0.10278179190751445,-0.15045320708965995,-0.24017348875033884,1.0022284122562675,0.21015601101254205,,-0.07663242846661779,0.24509356458238254,0.31688843398157623,-0.20049694189602446,-1.0347222222222223,,0.2734035358902522,,-0.12034864230640295,0.7664503561355707,-0.34670592565329406,0.7980609180317272,0.06963927855711423,,0.09757694826457106,0.17042889390519186,-0.41350210970464135,0.4631061138439916,-0.13095238095238096,,0.0883054262610976
