Date,LLY_ROA,UNH_ROA,JNJ_ROA,ABBV_ROA,MRK_ROA,TMO_ROA,ABT_ROA,DHR_ROA,ISRG_ROA,AMGN_ROA,PFE_ROA,BSX_ROA,SYK_ROA,VRTX_ROA,ELV_ROA,MDT_ROA,REGN_ROA,BMY_ROA,GILD_ROA,CI_ROA,ZTS_ROA,CVS_ROA,HCA_ROA,BDX_ROA,MCK_ROA,A_ROA,GEHC_ROA,IQV_ROA
2015-01-21,,,12.3751904837719,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,,6.82741903147611,12.3751904837719,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,,6.82741903147611,12.3751904837719,,,,,,10.5895293121104,,,,,,,,,,,,,,,,,,,
2015-01-26,,6.82741903147611,12.3751904837719,,,,,,10.5895293121104,,,,,,,,,,,,,,,,,,,
2015-01-27,,6.82741903147611,12.3751904837719,,,,,,10.5895293121104,,,,,,,,,,,,,,,,,,,
2015-01-28,,6.82741903147611,12.3751904837719,,,,,7.25162878380887,10.5895293121104,7.63390412479465,5.32376418894178,,3.07867049258728,,,,,5.54042659073001,,,,,,,,,,
2015-01-29,,6.82741903147611,12.3751904837719,,,,,7.25162878380887,10.5895293121104,7.63390412479465,5.32376418894178,,3.07867049258728,-31.7286815708723,4.14871257189065,,,5.54042659073001,,,,,,,,,,
2015-01-30,,6.82741903147611,12.3751904837719,,,5.07391371268345,4.2907866826524,7.25162878380887,10.5895293121104,7.63390412479465,5.32376418894178,,3.07867049258728,-31.7286815708723,4.14871257189065,,,5.54042659073001,,,,,,,,,,
2015-02-02,6.6011385272599,6.82741903147611,12.3751904837719,6.22081240637942,,5.07391371268345,4.2907866826524,7.25162878380887,10.5895293121104,7.63390412479465,5.32376418894178,,3.07867049258728,-31.7286815708723,4.14871257189065,,,5.54042659073001,,,,,,,,,,
2015-02-03,6.6011385272599,6.82741903147611,12.3751904837719,6.22081240637942,,5.07391371268345,4.2907866826524,7.25162878380887,10.5895293121104,7.63390412479465,5.32376418894178,,3.07867049258728,-31.7286815708723,4.14871257189065,,,5.54042659073001,,,,,,,,,,
2015-02-04,6.6011385272599,6.82741903147611,12.3751904837719,6.22081240637942,,5.07391371268345,4.2907866826524,7.25162878380887,10.5895293121104,7.63390412479465,5.32376418894178,,3.07867049258728,-31.7286815708723,4.14871257189065,,,5.54042659073001,42.3411854823197,,,,6.24687656171914,,,,,
