Date,IDXX_sales,EW_sales,COR_sales,CNC_sales,RMD_sales,MTD_sales,HUM_sales,BIIB_sales,DXCM_sales,CAH_sales,STE_sales,WST_sales,ZBH_sales,COO_sales,MRNA_sales,WAT_sales,MOH_sales,BAX_sales,HOLX_sales,LH_sales,DGX_sales,ALGN_sales,PODD_sales,RVTY_sales,VTRS_sales,UHS_sales,TECH_sales,TFX_sales,CTLT_sales,INCY_sales,CRL_sales,SOLV_sales,HSIC_sales,DVA_sales
2015-07-30,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-07-31,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-08-03,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-08-04,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-08-05,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-08-06,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-08-07,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-08-10,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-08-11,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-08-12,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-08-13,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-08-14,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-08-17,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-08-18,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-08-19,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-08-20,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-08-21,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-08-24,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-08-25,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-08-26,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-08-27,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-08-28,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-08-31,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-09-01,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-09-02,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-09-03,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-09-04,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-09-08,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-09-09,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-09-10,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-09-11,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-09-14,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-09-15,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-09-16,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-09-17,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
2015-09-18,,,,,,,,,,,,,,,,,,-0.12891113892365458,,,,,,,,,,,,,,,,
