date,JNJ_ROA,LLY_ROA,UNH_ROA
2015-10-23,11.0904685280163,6.64801595411079,6.30362729610011
2015-10-26,11.0904685280163,6.64801595411079,6.30362729610011
2015-10-27,11.0904685280163,6.64801595411079,6.30362729610011
2015-10-28,11.0904685280163,6.64801595411079,6.30362729610011
2015-10-29,11.0904685280163,6.64801595411079,6.30362729610011
2015-10-30,11.0904685280163,6.64801595411079,6.30362729610011
2015-11-02,11.0904685280163,6.64801595411079,6.30362729610011
2015-11-03,11.0904685280163,6.64801595411079,6.30362729610011
2015-11-04,11.0904685280163,6.64801595411079,6.30362729610011
2015-11-05,11.0904685280163,6.64801595411079,6.30362729610011
2015-11-06,11.0904685280163,6.64801595411079,6.30362729610011
2015-11-09,11.0904685280163,6.64801595411079,6.30362729610011
2015-11-10,11.0904685280163,6.64801595411079,6.30362729610011
2015-11-11,11.0904685280163,6.64801595411079,6.30362729610011
2015-11-12,11.0904685280163,6.64801595411079,6.30362729610011
2015-11-13,11.0904685280163,6.64801595411079,6.30362729610011
2015-11-16,11.0904685280163,6.64801595411079,6.30362729610011
2015-11-17,11.0904685280163,6.64801595411079,6.30362729610011
2015-11-18,11.0904685280163,6.64801595411079,6.30362729610011
2015-11-19,11.0904685280163,6.64801595411079,6.30362729610011
2015-11-20,11.0904685280163,6.64801595411079,6.30362729610011
2015-11-23,11.0904685280163,6.64801595411079,6.30362729610011
2015-11-24,11.0904685280163,6.64801595411079,6.30362729610011
2015-11-25,11.0904685280163,6.64801595411079,6.30362729610011
2015-11-27,11.0904685280163,6.64801595411079,6.30362729610011
2015-11-30,11.0904685280163,6.64801595411079,6.30362729610011
2015-12-01,11.0904685280163,6.64801595411079,6.30362729610011
2015-12-02,11.0904685280163,6.64801595411079,6.30362729610011
2015-12-03,11.0904685280163,6.64801595411079,6.30362729610011
2015-12-04,11.0904685280163,6.64801595411079,6.30362729610011
2015-12-07,11.0904685280163,6.64801595411079,6.30362729610011
2015-12-08,11.0904685280163,6.64801595411079,6.30362729610011
2015-12-09,11.0904685280163,6.64801595411079,6.30362729610011
2015-12-10,11.0904685280163,6.64801595411079,6.30362729610011
2015-12-11,11.0904685280163,6.64801595411079,6.30362729610011
2015-12-14,11.0904685280163,6.64801595411079,6.30362729610011
2015-12-15,11.0904685280163,6.64801595411079,6.30362729610011
2015-12-16,11.0904685280163,6.64801595411079,6.30362729610011
2015-12-17,11.0904685280163,6.64801595411079,6.30362729610011
2015-12-18,11.0904685280163,6.64801595411079,6.30362729610011
2015-12-21,11.0904685280163,6.64801595411079,6.30362729610011
2015-12-22,11.0904685280163,6.64801595411079,6.30362729610011
2015-12-23,11.0904685280163,6.64801595411079,6.30362729610011
2015-12-24,11.0904685280163,6.64801595411079,6.30362729610011
2015-12-28,11.0904685280163,6.64801595411079,6.30362729610011
2015-12-29,11.0904685280163,6.64801595411079,6.30362729610011
2015-12-30,11.0904685280163,6.64801595411079,6.30362729610011
2015-12-31,11.0904685280163,6.64801595411079,6.30362729610011
2016-01-04,11.0904685280163,6.64801595411079,6.30362729610011
2016-01-05,11.0904685280163,6.64801595411079,6.30362729610011
2016-01-06,11.0904685280163,6.64801595411079,6.30362729610011
2016-01-07,11.0904685280163,6.64801595411079,6.30362729610011
2016-01-08,11.0904685280163,6.64801595411079,6.30362729610011
2016-01-11,11.0904685280163,6.64801595411079,6.30362729610011
2016-01-12,11.0904685280163,6.64801595411079,6.30362729610011
2016-01-13,11.0904685280163,6.64801595411079,6.30362729610011
2016-01-14,11.0904685280163,6.64801595411079,6.30362729610011
2016-01-15,11.0904685280163,6.64801595411079,6.30362729610011
2016-01-19,11.0904685280163,6.64801595411079,6.30362729610011
2016-01-20,11.0904685280163,6.64801595411079,5.93350957956088
2016-01-21,11.0904685280163,6.64801595411079,5.93350957956088
2016-01-22,11.0904685280163,6.64801595411079,5.93350957956088
2016-01-25,11.0904685280163,6.64801595411079,5.93350957956088
2016-01-26,11.0904685280163,6.64801595411079,5.93350957956088
2016-01-27,11.650096397384,6.64801595411079,5.93350957956088
2016-01-28,11.650096397384,6.64801595411079,5.93350957956088
2016-01-29,11.650096397384,6.6212948694862,5.93350957956088
2016-02-01,11.650096397384,6.6212948694862,5.93350957956088
2016-02-02,11.650096397384,6.6212948694862,5.93350957956088
2016-02-03,11.650096397384,6.6212948694862,5.93350957956088
2016-02-04,11.650096397384,6.6212948694862,5.93350957956088
2016-02-05,11.650096397384,6.6212948694862,5.93350957956088
2016-02-08,11.650096397384,6.6212948694862,5.93350957956088
2016-02-09,11.650096397384,6.6212948694862,5.93350957956088
2016-02-10,11.650096397384,6.6212948694862,5.93350957956088
2016-02-11,11.650096397384,6.6212948694862,5.93350957956088
2016-02-12,11.650096397384,6.6212948694862,5.93350957956088
2016-02-16,11.650096397384,6.6212948694862,5.93350957956088
2016-02-17,11.650096397384,6.6212948694862,5.93350957956088
2016-02-18,11.650096397384,6.6212948694862,5.93350957956088
2016-02-19,11.650096397384,6.6212948694862,5.93350957956088
2016-02-22,11.650096397384,6.6212948694862,5.93350957956088
2016-02-23,11.650096397384,6.6212948694862,5.93350957956088
2016-02-24,11.650096397384,6.6212948694862,5.93350957956088
2016-02-25,11.650096397384,6.6212948694862,5.93350957956088
2016-02-26,11.650096397384,6.6212948694862,5.93350957956088
2016-02-29,11.650096397384,6.6212948694862,5.93350957956088
2016-03-01,11.650096397384,6.6212948694862,5.93350957956088
2016-03-02,11.650096397384,6.6212948694862,5.93350957956088
2016-03-03,11.650096397384,6.6212948694862,5.93350957956088
