date,JNJ_NI,LLY_NI,UNH_NI
2015-10-23,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-10-26,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-10-27,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-10-28,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-10-29,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-10-30,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-11-02,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-11-03,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-11-04,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-11-05,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-11-06,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-11-09,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-11-10,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-11-11,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-11-12,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-11-13,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-11-16,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-11-17,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-11-18,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-11-19,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-11-20,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-11-23,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-11-24,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-11-25,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-11-27,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-11-30,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-12-01,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-12-02,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-12-03,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-12-04,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-12-07,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-12-08,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-12-09,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-12-10,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-12-11,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-12-14,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-12-15,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-12-16,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-12-17,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-12-18,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-12-21,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-12-22,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-12-23,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-12-24,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-12-28,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-12-29,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-12-30,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2015-12-31,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2016-01-04,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2016-01-05,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2016-01-06,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2016-01-07,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2016-01-08,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2016-01-11,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2016-01-12,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2016-01-13,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2016-01-14,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2016-01-15,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2016-01-19,-0.1504532070896599,-0.123071202825804,0.1027817919075144
2016-01-20,-0.1504532070896599,-0.123071202825804,0.0345257163196298
2016-01-21,-0.1504532070896599,-0.123071202825804,0.0345257163196298
2016-01-22,-0.1504532070896599,-0.123071202825804,0.0345257163196298
2016-01-25,-0.1504532070896599,-0.123071202825804,0.0345257163196298
2016-01-26,-0.1504532070896599,-0.123071202825804,0.0345257163196298
2016-01-27,-0.0559946088341603,-0.123071202825804,0.0345257163196298
2016-01-28,-0.0559946088341603,-0.123071202825804,0.0345257163196298
2016-01-29,-0.0559946088341603,0.0074879732273583,0.0345257163196298
2016-02-01,-0.0559946088341603,0.0074879732273583,0.0345257163196298
2016-02-02,-0.0559946088341603,0.0074879732273583,0.0345257163196298
2016-02-03,-0.0559946088341603,0.0074879732273583,0.0345257163196298
2016-02-04,-0.0559946088341603,0.0074879732273583,0.0345257163196298
2016-02-05,-0.0559946088341603,0.0074879732273583,0.0345257163196298
2016-02-08,-0.0559946088341603,0.0074879732273583,0.0345257163196298
2016-02-09,-0.0559946088341603,0.0074879732273583,0.0345257163196298
2016-02-10,-0.0559946088341603,0.0074879732273583,0.0345257163196298
2016-02-11,-0.0559946088341603,0.0074879732273583,0.0345257163196298
2016-02-12,-0.0559946088341603,0.0074879732273583,0.0345257163196298
2016-02-16,-0.0559946088341603,0.0074879732273583,0.0345257163196298
2016-02-17,-0.0559946088341603,0.0074879732273583,0.0345257163196298
