Date,LLY_sales,LLY_NI,LLY_ROA,LLY_PE_FY1
2015-10-23,-0.029488107727391244,-0.12307120282580405,6.64801595411079,25.50747
2015-10-26,-0.029488107727391244,-0.12307120282580405,6.64801595411079,25.50747
2015-10-27,-0.029488107727391244,-0.12307120282580405,6.64801595411079,25.50747
2015-10-28,-0.029488107727391244,-0.12307120282580405,6.64801595411079,25.50747
2015-10-29,-0.029488107727391244,-0.12307120282580405,6.64801595411079,25.50747
2015-10-30,-0.029488107727391244,-0.12307120282580405,6.64801595411079,25.50747
2015-11-02,-0.029488107727391244,-0.12307120282580405,6.64801595411079,24.093191
2015-11-03,-0.029488107727391244,-0.12307120282580405,6.64801595411079,24.093191
2015-11-04,-0.029488107727391244,-0.12307120282580405,6.64801595411079,24.093191
2015-11-05,-0.029488107727391244,-0.12307120282580405,6.64801595411079,24.093191
2015-11-06,-0.029488107727391244,-0.12307120282580405,6.64801595411079,24.093191
2015-11-09,-0.029488107727391244,-0.12307120282580405,6.64801595411079,24.093191
2015-11-10,-0.029488107727391244,-0.12307120282580405,6.64801595411079,24.093191
2015-11-11,-0.029488107727391244,-0.12307120282580405,6.64801595411079,24.093191
2015-11-12,-0.029488107727391244,-0.12307120282580405,6.64801595411079,24.093191
2015-11-13,-0.029488107727391244,-0.12307120282580405,6.64801595411079,24.093191
2015-11-16,-0.029488107727391244,-0.12307120282580405,6.64801595411079,24.093191
2015-11-17,-0.029488107727391244,-0.12307120282580405,6.64801595411079,24.093191
2015-11-18,-0.029488107727391244,-0.12307120282580405,6.64801595411079,24.093191
2015-11-19,-0.029488107727391244,-0.12307120282580405,6.64801595411079,24.093191
2015-11-20,-0.029488107727391244,-0.12307120282580405,6.64801595411079,24.093191
2015-11-23,-0.029488107727391244,-0.12307120282580405,6.64801595411079,24.093191
2015-11-24,-0.029488107727391244,-0.12307120282580405,6.64801595411079,24.093191
2015-11-25,-0.029488107727391244,-0.12307120282580405,6.64801595411079,24.093191
2015-11-27,-0.029488107727391244,-0.12307120282580405,6.64801595411079,24.093191
