Date,LLY,UNH,JNJ,ABBV,MRK,TMO,ABT,DHR,ISRG,AMGN,PFE,BSX,SYK,VRTX,ELV,MDT,REGN,BMY,GILD,CI,ZTS,CVS,HCA,BDX,MCK,A,GEHC,IQV,IDXX,EW,COR,CNC,RMD,MTD,HUM,BIIB,DXCM,CAH,STE,WST,ZBH,COO,MRNA,WAT,MOH,BAX,HOLX,LH,DGX,ALGN,PODD,RVTY,VTRS,UHS,TECH,TFX,CTLT,INCY,CRL,SOLV,HSIC,DVA
2015-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-04,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-09-08,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-09-09,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-09-10,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-09-11,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-09-14,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-09-15,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-09-16,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-09-17,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-09-18,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-09-21,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-09-22,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-09-23,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-09-24,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-09-25,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-09-28,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-09-29,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-09-30,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-10-01,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-10-02,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-10-05,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-10-06,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-10-07,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-10-08,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-10-09,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-10-12,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-10-13,,,,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-10-14,,,-0.15045320708965995,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-10-15,,,-0.15045320708965995,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-10-16,,0.10278179190751445,-0.15045320708965995,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-10-19,,0.10278179190751445,-0.15045320708965995,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-10-20,,0.10278179190751445,-0.15045320708965995,,,,,,,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-10-21,,0.10278179190751445,-0.15045320708965995,,,,,,0.24509356458238254,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-10-22,,0.10278179190751445,-0.15045320708965995,,,0.21015601101254205,,,0.24509356458238254,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,,,,0.4346112174552921,,,,,,-0.3333828048315664,,,,,,,,,,,,,,,,,,,,
2015-10-23,-0.12307120282580405,0.10278179190751445,-0.15045320708965995,,,0.21015601101254205,,-0.07663242846661779,0.24509356458238254,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,0.006979226301268941,,,0.4346112174552921,,,,,,-0.3333828048315664,,,,,,,0.38790998130368776,-0.09432998009575551,,,,,,,,,,,,
2015-10-26,-0.12307120282580405,0.10278179190751445,-0.15045320708965995,,,0.21015601101254205,,-0.07663242846661779,0.24509356458238254,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,,,,0.006979226301268941,,,0.4346112174552921,,,,,,-0.3333828048315664,,,,,,,0.38790998130368776,-0.09432998009575551,,,,,,,,,,,,
2015-10-27,-0.12307120282580405,0.10278179190751445,-0.15045320708965995,,,0.21015601101254205,,-0.07663242846661779,0.24509356458238254,,,,,,,-0.12034864230640295,,,,,,,,,,-0.5505780346820809,,,,-0.4041404140414042,,,0.006979226301268941,,,0.4346112174552921,,,,,,-0.3333828048315664,,,,,,-0.14751882602819072,0.38790998130368776,-0.09432998009575551,,,,,,,,,,,,
2015-10-28,-0.12307120282580405,0.10278179190751445,-0.15045320708965995,,1.0022284122562675,0.21015601101254205,,-0.07663242846661779,0.24509356458238254,,-0.20049694189602446,,,,,-0.12034864230640295,,-0.34670592565329406,0.7980609180317272,,,,0.17042889390519186,,,-0.5505780346820809,,,,-0.4041404140414042,,0.6547193992159163,0.006979226301268941,,,0.4346112174552921,,,,,,-0.3333828048315664,,0.11230120167808293,,-0.30665224445646294,,-0.14751882602819072,0.38790998130368776,-0.09432998009575551,,,,0.3672920579136046,,,,,,,,
2015-10-29,-0.12307120282580405,0.10278179190751445,-0.15045320708965995,,1.0022284122562675,0.21015601101254205,,-0.07663242846661779,0.24509356458238254,0.31688843398157623,-0.20049694189602446,-1.0347222222222223,,0.2734035358902522,,-0.12034864230640295,,-0.34670592565329406,0.7980609180317272,,,,0.17042889390519186,,,-0.5505780346820809,,0.0883054262610976,-0.12807538039085758,-0.4041404140414042,,0.6547193992159163,0.006979226301268941,,,0.4346112174552921,,,,,,-0.3333828048315664,,0.11230120167808293,,-0.30665224445646294,,-0.14751882602819072,0.38790998130368776,-0.09432998009575551,,,,0.3672920579136046,-0.00830331294739693,,,,,,,
2015-10-30,-0.12307120282580405,0.10278179190751445,-0.15045320708965995,,1.0022284122562675,0.21015601101254205,,-0.07663242846661779,0.24509356458238254,0.31688843398157623,-0.20049694189602446,-1.0347222222222223,,0.2734035358902522,,-0.12034864230640295,,-0.34670592565329406,0.7980609180317272,,,,0.17042889390519186,,0.4631061138439916,-0.5505780346820809,,0.0883054262610976,-0.12807538039085758,-0.4041404140414042,-1.474904059430342,0.6547193992159163,0.006979226301268941,,,0.4346112174552921,,,,,-0.7524393294971229,-0.3333828048315664,,0.11230120167808293,,-0.30665224445646294,,-0.14751882602819072,0.38790998130368776,-0.09432998009575551,,,,0.3672920579136046,-0.00830331294739693,0.13564212733116002,,,,,,
