Date,UNH_sales,UNH_NI,UNH_ROA,UNH_PE_FY1
2022-01-05,0.10589329902009305,-0.07805402820941908,7.63636903671655,26.65004
2022-01-06,0.10589329902009305,-0.07805402820941908,7.63636903671655,26.65004
2022-01-07,0.10589329902009305,-0.07805402820941908,7.63636903671655,26.65004
2022-01-10,0.10589329902009305,-0.07805402820941908,7.63636903671655,26.65004
2022-01-11,0.10589329902009305,-0.07805402820941908,7.63636903671655,26.65004
2022-01-12,0.10589329902009305,-0.07805402820941908,7.63636903671655,26.65004
2022-01-13,0.10589329902009305,-0.07805402820941908,7.63636903671655,26.65004
2022-01-14,0.10589329902009305,-0.07805402820941908,7.63636903671655,26.65004
2022-01-18,0.10589329902009305,-0.07805402820941908,7.63636903671655,26.65004
2022-01-19,0.10589329902009305,-0.07805402820941908,7.63636903671655,26.65004
2022-01-20,0.11844085540617794,0.12218399013179251,8.30143552159526,26.65004
2022-01-21,0.11844085540617794,0.12218399013179251,8.30143552159526,26.65004
2022-01-24,0.11844085540617794,0.12218399013179251,8.30143552159526,26.65004
2022-01-25,0.11844085540617794,0.12218399013179251,8.30143552159526,26.65004
2022-01-26,0.11844085540617794,0.12218399013179251,8.30143552159526,26.65004
2022-01-27,0.11844085540617794,0.12218399013179251,8.30143552159526,26.65004
2022-01-28,0.11844085540617794,0.12218399013179251,8.30143552159526,26.65004
2022-01-31,0.11844085540617794,0.12218399013179251,8.30143552159526,26.65004
2022-02-01,0.11844085540617794,0.12218399013179251,8.30143552159526,21.842184
2022-02-02,0.11844085540617794,0.12218399013179251,8.30143552159526,21.842184
2022-02-03,0.11844085540617794,0.12218399013179251,8.30143552159526,21.842184
2022-02-04,0.11844085540617794,0.12218399013179251,8.30143552159526,21.842184
2022-02-07,0.11844085540617794,0.12218399013179251,8.30143552159526,21.842184
2022-02-08,0.11844085540617794,0.12218399013179251,8.30143552159526,21.842184
2022-02-09,0.11844085540617794,0.12218399013179251,8.30143552159526,21.842184
2022-02-10,0.11844085540617794,0.12218399013179251,8.30143552159526,21.842184
2022-02-11,0.11844085540617794,0.12218399013179251,8.30143552159526,21.842184
2022-02-14,0.11844085540617794,0.12218399013179251,8.30143552159526,21.842184
2022-02-15,0.11844085540617794,0.12218399013179251,8.30143552159526,21.842184
2022-02-16,0.11844085540617794,0.12218399013179251,8.30143552159526,21.842184
2022-02-17,0.11844085540617794,0.12218399013179251,8.30143552159526,21.842184
2022-02-18,0.11844085540617794,0.12218399013179251,8.30143552159526,21.842184
2022-02-22,0.11844085540617794,0.12218399013179251,8.30143552159526,21.842184
2022-02-23,0.11844085540617794,0.12218399013179251,8.30143552159526,21.842184
2022-02-24,0.11844085540617794,0.12218399013179251,8.30143552159526,21.842184
2022-02-25,0.11844085540617794,0.12218399013179251,8.30143552159526,21.842184
2022-02-28,0.11844085540617794,0.12218399013179251,8.30143552159526,21.842184
2022-03-01,0.11844085540617794,0.12218399013179251,8.30143552159526,21.99659
2022-03-02,0.11844085540617794,0.12218399013179251,8.30143552159526,21.99659
2022-03-03,0.11844085540617794,0.12218399013179251,8.30143552159526,21.99659
2022-03-04,0.11844085540617794,0.12218399013179251,8.30143552159526,21.99659
2022-03-07,0.11844085540617794,0.12218399013179251,8.30143552159526,21.99659
2022-03-08,0.11844085540617794,0.12218399013179251,8.30143552159526,21.99659
2022-03-09,0.11844085540617794,0.12218399013179251,8.30143552159526,21.99659
2022-03-10,0.11844085540617794,0.12218399013179251,8.30143552159526,21.99659
2022-03-11,0.11844085540617794,0.12218399013179251,8.30143552159526,21.99659
2022-03-14,0.11844085540617794,0.12218399013179251,8.30143552159526,21.99659
2022-03-15,0.11844085540617794,0.12218399013179251,8.30143552159526,21.99659
2022-03-16,0.11844085540617794,0.12218399013179251,8.30143552159526,21.99659
2022-03-17,0.11844085540617794,0.12218399013179251,8.30143552159526,21.99659
2022-03-18,0.11844085540617794,0.12218399013179251,8.30143552159526,21.99659
2022-03-21,0.11844085540617794,0.12218399013179251,8.30143552159526,21.99659
2022-03-22,0.11844085540617794,0.12218399013179251,8.30143552159526,21.99659
2022-03-23,0.11844085540617794,0.12218399013179251,8.30143552159526,21.99659
2022-03-24,0.11844085540617794,0.12218399013179251,8.30143552159526,21.99659
2022-03-25,0.11844085540617794,0.12218399013179251,8.30143552159526,21.99659
2022-03-28,0.11844085540617794,0.12218399013179251,8.30143552159526,21.99659
2022-03-29,0.11844085540617794,0.12218399013179251,8.30143552159526,21.99659
2022-03-30,0.11844085540617794,0.12218399013179251,8.30143552159526,21.99659
2022-03-31,0.11844085540617794,0.12218399013179251,8.30143552159526,21.99659
2022-04-01,0.11844085540617794,0.12218399013179251,8.30143552159526,23.582642
2022-04-04,0.11844085540617794,0.12218399013179251,8.30143552159526,23.582642
2022-04-05,0.11844085540617794,0.12218399013179251,8.30143552159526,23.582642
2022-04-06,0.11844085540617794,0.12218399013179251,8.30143552159526,23.582642
2022-04-07,0.11844085540617794,0.12218399013179251,8.30143552159526,23.582642
2022-04-08,0.11844085540617794,0.12218399013179251,8.30143552159526,23.582642
2022-04-11,0.11844085540617794,0.12218399013179251,8.30143552159526,23.582642
2022-04-12,0.11844085540617794,0.12218399013179251,8.30143552159526,23.582642
2022-04-13,0.11844085540617794,0.12218399013179251,8.30143552159526,23.582642
2022-04-14,0.11844085540617794,0.12218399013179251,8.30143552159526,23.582642
2022-04-18,0.1317302864793318,0.0335840786590061,8.18463024936153,23.582642
