Date,JNJ_sales,JNJ_NI,JNJ_ROA,JNJ_PE_FY1
2015-10-14,-0.050805768739667474,-0.15045320708965995,11.0904685280163,15.139876
2015-10-15,-0.050805768739667474,-0.15045320708965995,11.0904685280163,15.139876
2015-10-16,-0.050805768739667474,-0.15045320708965995,11.0904685280163,15.139876
2015-10-19,-0.050805768739667474,-0.15045320708965995,11.0904685280163,15.139876
2015-10-20,-0.050805768739667474,-0.15045320708965995,11.0904685280163,15.139876
2015-10-21,-0.050805768739667474,-0.15045320708965995,11.0904685280163,15.139876
2015-10-22,-0.050805768739667474,-0.15045320708965995,11.0904685280163,15.139876
2015-10-23,-0.050805768739667474,-0.15045320708965995,11.0904685280163,15.139876
2015-10-26,-0.050805768739667474,-0.15045320708965995,11.0904685280163,15.139876
2015-10-27,-0.050805768739667474,-0.15045320708965995,11.0904685280163,15.139876
2015-10-28,-0.050805768739667474,-0.15045320708965995,11.0904685280163,15.139876
2015-10-29,-0.050805768739667474,-0.15045320708965995,11.0904685280163,15.139876
2015-10-30,-0.050805768739667474,-0.15045320708965995,11.0904685280163,15.139876
2015-11-02,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.34117
2015-11-03,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.34117
2015-11-04,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.34117
2015-11-05,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.34117
2015-11-06,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.34117
2015-11-09,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.34117
2015-11-10,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.34117
2015-11-11,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.34117
2015-11-12,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.34117
2015-11-13,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.34117
2015-11-16,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.34117
2015-11-17,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.34117
2015-11-18,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.34117
2015-11-19,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.34117
2015-11-20,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.34117
2015-11-23,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.34117
2015-11-24,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.34117
2015-11-25,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.34117
2015-11-27,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.34117
2015-11-30,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.34117
2015-12-01,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.373045
2015-12-02,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.373045
2015-12-03,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.373045
2015-12-04,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.373045
2015-12-07,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.373045
2015-12-08,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.373045
2015-12-09,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.373045
2015-12-10,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.373045
2015-12-11,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.373045
2015-12-14,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.373045
2015-12-15,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.373045
2015-12-16,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.373045
2015-12-17,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.373045
2015-12-18,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.373045
2015-12-21,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.373045
2015-12-22,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.373045
2015-12-23,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.373045
2015-12-24,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.373045
2015-12-28,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.373045
2015-12-29,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.373045
2015-12-30,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.373045
2015-12-31,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.373045
2016-01-04,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.611456
2016-01-05,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.611456
2016-01-06,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.611456
2016-01-07,-0.050805768739667474,-0.15045320708965995,11.0904685280163,16.611456
